	scenario	user_id	age	risk_level	retirement_age_years	retirement_age_months	months_to_retirement	retirement_duration_text	retirement_monthly_expend	required_asset_at_retirement	accumulated_asset_at_retirement	gap
1	default_goal_keep_consumption	V500001	22	R3	63	0	492	41年0个月	9076	985979	772715	213264
2	inflation_3pct	V500001	22	R3	63	0	492	41年0个月	13664	2236336	772715	1463621
3	split_10y_to_3pct	V500001	22	R3	63	0	492	41年0个月	12366	1947939	772715	1175224
4	extra_saving_1000	V500001	22	R3	63	0	492	41年0个月	9076	985979	1534085	-548106
5	extra_saving_2000	V500001	22	R3	63	0	492	41年0个月	9076	985979	2295456	-1309477
6	goal_monthly_12000	V500001	22	R3	63	0	492	41年0个月	12000	1582475	772715	809760
7	goal_monthly_15000	V500001	22	R3	63	0	492	41年0个月	15000	2194475	772715	1421760
8	default_goal_keep_consumption	V500002	36	R5	58	0	264	22年0个月	10865	444229	2587699	-2143470
9	inflation_3pct	V500002	36	R5	58	0	264	22年0个月	13532	1751255	2587699	-836444
10	split_10y_to_3pct	V500002	36	R5	58	0	264	22年0个月	12247	1371984	2587699	-1215715
11	extra_saving_1000	V500002	36	R5	58	0	264	22年0个月	10865	444229	2918982	-2474753
12	extra_saving_2000	V500002	36	R5	58	0	264	22年0个月	10865	444229	3250265	-2806036
13	goal_monthly_12000	V500002	36	R5	58	0	264	22年0个月	12000	743869	2587699	-1843830
14	goal_monthly_15000	V500002	36	R5	58	0	264	22年0个月	15000	1535869	2587699	-1051830
15	default_goal_keep_consumption	V500003	50	R1	62	7	151	12年7个月	7715	552517	1628975	-1076458
16	inflation_3pct	V500003	50	R1	62	7	151	12年7个月	8748	1017710	1628975	-611266
17	split_10y_to_3pct	V500003	50	R1	62	7	151	12年7个月	7917	828147	1628975	-800828
18	extra_saving_1000	V500003	50	R1	62	7	151	12年7个月	7715	552517	1800514	-1247997
19	extra_saving_2000	V500003	50	R1	62	7	151	12年7个月	7715	552517	1972053	-1419536
20	goal_monthly_12000	V500003	50	R1	62	7	151	12年7个月	12000	1448082	1628975	-180893
21	goal_monthly_15000	V500003	50	R1	62	7	151	12年7个月	15000	2075082	1628975	446107